Country,Policy_Bucket,Need_Score_0to1,Urban_Pop_used,WAT_latest,SAN_latest,CMR_latest,Feasible_WAT_gain,Feasible_SAN_gain,People_new_WAT_12m,People_new_SAN_12m,Standpipes_needed,New_connections_needed,Basic_toilets_needed,Handwash_stations_needed,Desludging_trips_year,Cost_total_12m_USD,Primary_Owner,Co_Leads,Objective,Key_Actions,Timeline_90d,Timeline_6_12m,Timeline_12_24m,KPIs
Chile,Type A: Maintain & Climate-proof,0.003,17322577,100.0,100.0,0.94,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Denmark,Type A: Maintain & Climate-proof,0.003,5271593,100.0,99.6,0.48,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Israel,Type A: Maintain & Climate-proof,0.002,8603371,100.0,99.92,0.67,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Italy,Type A: Maintain & Climate-proof,0.002,43013344,99.92,99.89,0.39,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
New Zealand,Type A: Maintain & Climate-proof,0.002,4505075,100.0,100.0,0.79,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Austria,Type A: Maintain & Climate-proof,0.002,5461734,100.0,99.97,0.67,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Australia,Type A: Maintain & Climate-proof,0.002,22946352,99.97,100.0,0.56,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Malta,Type A: Maintain & Climate-proof,0.002,506348,100.0,99.96,0.75,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Spain,Type A: Maintain & Climate-proof,0.002,39192633,99.93,99.92,0.49,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Switzerland,Type A: Maintain & Climate-proof,0.002,6593224,100.0,99.9,0.45,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Republic of Korea,Type A: Maintain & Climate-proof,0.002,42174191,100.0,99.82,0.42,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Singapore,Type A: Maintain & Climate-proof,0.001,5789092,100.0,100.0,0.36,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
Andorra,Type A: Maintain & Climate-proof,-0.0,70960,100.0,100.0,0.11,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
San Marino,Type A: Maintain & Climate-proof,0.0,33063,100.0,100.0,0.19,0.0,0.0,0,0,0,0,0,0,0,0,Water Utility / Asset Management,Climate/Environment Office,Maintain high service levels and climate-proof assets,Leak detection & pressure management program | Preventive O&M at plants and reservoirs | Add storage/drought buffers; equity sweep for sub-80% pockets,Leak survey; preventive O&M plan live; equity sweep for sub-80% pockets.,Pressure zoning; smart metering pilots; add storage buffers.,Scale NRW program; resilience retrofits at treatment works.,NRW −5–10ppts; 100% O&M tasks on schedule; all sub-80% pockets resolved
